Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
Acapulco Shrimp Bowl ,388,154,Total Fat 17.1g,45,Tot. Carb. 31.5g,,Sat. Fat 7.9g,40%,Dietary Fiber 2.4g,8,Trans Fat 0g,,Sugars 4.5g,3,Cholesterol 148.5mg,,Protein 26.9g,,Sodium 2086.9mg,91,"Milk, Crustacean Shellfish, Soybeans"
Acapulco Shrimp Burrito ,562,154,Total Fat 17.1g,45,Tot. Carb. 75.3g,,Sat. Fat 5.4g,27%,Dietary Fiber 4.1g,14,Trans Fat 0g,,Sugars 4.2g,3,Cholesterol 122.9mg,,Protein 28.9g,,Sodium 2162.8mg,94,"Milk, Crustacean Shellfish, Wheat, Soybeans, Gluten"
Acapulco Shrimp Quesadilla ,721,314,Total Fat 34.9g,92,Tot. Carb. 60.3g,,Sat. Fat 21.4g,107%,Dietary Fiber 3.8g,13,Trans Fat 0g,,Sugars 1.2g,1,Cholesterol 179.3mg,,Protein 40.7g,,Sodium 1445.5mg,63,"Milk, Crustacean Shellfish, Wheat, Soybeans, Gluten"
Birria Bowl ,434,156,Total Fat 17.3g,45,Tot. Carb. 33.8g,,Sat. Fat 9g,45%,Dietary Fiber 2.9g,10,Trans Fat 0.1g,,Sugars 3.9g,3,Cholesterol 84.5mg,,Protein 33.5g,,Sodium 1709.8mg,74,"Milk, Wheat, Soybeans, Gluten"
Birria Burrito ,627,166,Total Fat 18.4g,48,Tot. Carb. 78.4g,,Sat. Fat 6.6g,33%,Dietary Fiber 5g,17,Trans Fat 0.1g,,Sugars 4g,3,Cholesterol 67.7mg,,Protein 36.9g,,Sodium 1990.7mg,87,"Milk, Wheat, Soybeans, Gluten"
Birria Quesadilla ,782,326,Total Fat 36.2g,95,Tot. Carb. 62.8g,,Sat. Fat 22.5g,113%,Dietary Fiber 4.4g,15,Trans Fat 0.1g,,Sugars 0.8g,1,Cholesterol 124.2mg,,Protein 48.4g,,Sodium 1261.7mg,55,"Milk, Wheat, Soybeans, Gluten"
Carnitas Bowl ,428,161,Total Fat 17.8g,47,Tot. Carb. 28.6g,,Sat. Fat 8.9g,44%,Dietary Fiber 1.8g,6,Trans Fat 0g,,Sugars 3.4g,3,Cholesterol 111.6mg,,Protein 36.4g,,Sodium 1702mg,74,"Milk, Soybeans"
Carnitas Burrito ,622,171,Total Fat 18.9g,50,Tot. Carb. 73.2g,,Sat. Fat 6.5g,32%,Dietary Fiber 3.9g,13,Trans Fat 0g,,Sugars 3.5g,3,Cholesterol 94.8mg,,Protein 39.8g,,Sodium 1982.9mg,86,"Milk, Wheat, Soybeans, Gluten"
Carnitas Quesadilla ,776,331,Total Fat 36.7g,97,Tot. Carb. 57.6g,,Sat. Fat 22.4g,112%,Dietary Fiber 3.3g,11,Trans Fat 0g,,Sugars 0.2g,0,Cholesterol 151.2mg,,Protein 51.4g,,Sodium 1253.9mg,55,"Milk, Wheat, Soybeans, Gluten"
Chicken Tinga Bowl ,431,197,Total Fat 21.8g,57,Tot. Carb. 35.2g,,Sat. Fat 8.9g,45%,Dietary Fiber 3.9g,13,Trans Fat 0g,,Sugars 6.8g,5,Cholesterol 61.1mg,,Protein 23.3g,,Sodium 2041.1mg,89,"Milk, Soybeans"
Chicken Tinga Burrito ,625,207,Total Fat 23g,60,Tot. Carb. 79.9g,,Sat. Fat 6.5g,33%,Dietary Fiber 6g,20,Trans Fat 0g,,Sugars 6.9g,5,Cholesterol 44.3mg,,Protein 26.7g,,Sodium 2322mg,101,"Milk, Wheat, Soybeans, Gluten"
Chicken Tinga Quesadilla ,779,367,Total Fat 40.7g,107,Tot. Carb. 64.3g,,Sat. Fat 22.5g,113%,Dietary Fiber 5.4g,18,Trans Fat 0g,,Sugars 3.6g,3,Cholesterol 100.8mg,,Protein 38.2g,,Sodium 1593mg,69,"Milk, Wheat, Soybeans, Gluten"
Soyrizo Potato Bowl ,445,220,Total Fat 24.4g,64,Tot. Carb. 40.3g,,Sat. Fat 8.4g,42%,Dietary Fiber 4.3g,14,Trans Fat 0g,,Sugars 5g,4,Cholesterol 42.1mg,,Protein 17.6g,,Sodium 1927.5mg,84,"Milk, Soybeans"
Soyrizo Potato Quesadilla ,793,390,Total Fat 43.3g,114,Tot. Carb. 69.3g,,Sat. Fat 22g,110%,Dietary Fiber 5.7g,19,Trans Fat 0g,,Sugars 1.9g,1,Cholesterol 81.8mg,,Protein 32.5g,,Sodium 1479.4mg,64,"Milk, Wheat, Soybeans, Gluten"
Cilantro and Onion ,12,1,Total Fat 0.1g,0,Tot. Carb. 2.6g,,Sat. Fat 0g,0%,Dietary Fiber 0.6g,2,Trans Fat 0g,,Sugars 1.1g,1,Cholesterol 0mg,,Protein 0.4g,,Sodium 3.9mg,0,
Cotija Cheese ,91,64,Total Fat 7.1g,19,Tot. Carb. 1g,,Sat. Fat 4.6g,23%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 25.3mg,,Protein 7.1g,,Sodium 435.4mg,19,Milk
Guacamole ,36,28,Total Fat 3.1g,8,Tot. Carb. 2.3g,,Sat. Fat 0.4g,2%,Dietary Fiber 1.4g,5,Trans Fat 0g,,Sugars 0.6g,0,Cholesterol 0mg,,Protein 0.5g,,Sodium 24.8mg,1,
Lime  Cream ,129,118,Total Fat 13.1g,35,Tot. Carb. 1g,,Sat. Fat 3.3g,17%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0.6g,0,Cholesterol 15.5mg,,Protein 0.6g,,Sodium 135.8mg,6,"Milk, Eggs, Soybeans"
Arroz con Leche ,196,31,Total Fat 3.4g,9,Tot. Carb. 35.8g,,Sat. Fat 2.1g,11%,Dietary Fiber 1.5g,5,Trans Fat 0g,,Sugars 19.3g,15,Cholesterol 11.7mg,,Protein 5g,,Sodium 50.2mg,2,Milk
Flan ,315,163,Total Fat 18.1g,48,Tot. Carb. 30.6g,,Sat. Fat 11.8g,59%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 28.2g,22,Cholesterol 132.2mg,,Protein 5.9g,,Sodium 89.9mg,4,"Milk, Eggs"
Arroz Del Sol ,125,22,Total Fat 2.4g,6,Tot. Carb. 22.6g,,Sat. Fat 0.2g,1%,Dietary Fiber 1.5g,5,Trans Fat 0g,,Sugars 1.6g,1,Cholesterol 0mg,,Protein 3g,,Sodium 619.5mg,27,Soybeans
Fiesta Fruit Cup ,92,3,Total Fat 0.3g,1,Tot. Carb. 23.3g,,Sat. Fat 0g,0%,Dietary Fiber 4.5g,15,Trans Fat 0g,,Sugars 14.7g,11,Cholesterol 0mg,,Protein 1.4g,,Sodium 743.7mg,32,
Refried Beans ,284,13,Total Fat 1.4g,4,Tot. Carb. 51.6g,,Sat. Fat 0.2g,1%,Dietary Fiber 0.5g,2,Trans Fat 0g,,Sugars 2.1g,2,Cholesterol 0mg,,Protein 17.2g,,Sodium 36.4mg,2,
Shrimp Ceviche ,153,20,Total Fat 2.2g,6,Tot. Carb. 19.9g,,Sat. Fat 0.1g,0%,Dietary Fiber 1.3g,4,Trans Fat 0g,,Sugars 9g,7,Cholesterol 99.2mg,,Protein 14.2g,,Sodium 1773mg,77,Crustacean Shellfish
